Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
42,MNQ SEP25,Backtest,CointegratedPairs,Long,7,19754.25,19748.00,3/28/2025 1:00:00 PM,3/28/2025 1:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),$3277.19,$12.18,$87.50,$0.00,$99.68,1,
43,MES SEP25,Backtest,CointegratedPairs,Short,7,5699.00,5705.25,3/28/2025 1:00:00 PM,3/28/2025 1:00:00 PM,MES SEP25 Initial,Stop loss,($230.93),$3046.26,$12.18,$218.75,$0.00,$230.93,1,
44,MNQ SEP25,Backtest,CointegratedPairs,Long,7,19704.25,19698.00,3/28/2025 2:00:00 PM,3/28/2025 2:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),$2946.58,$12.18,$87.50,$0.00,$99.68,1,
45,MES SEP25,Backtest,CointegratedPairs,Short,7,5684.75,5683.50,3/28/2025 2:00:00 PM,3/28/2025 3:00:00 PM,MES SEP25 Initial,Partial Exit Short MES SEP25,$31.57,$2978.15,$12.18,$35.00,$463.75,$432.18,2,
46,MNQ SEP25,Backtest,CointegratedPairs,Long,7,19159.00,19152.75,4/2/2025 8:00:00 PM,4/2/2025 8:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),$2878.47,$12.18,$87.50,$0.00,$99.68,1,
47,MNQ SEP25,Backtest,CointegratedPairs,Long,7,19090.75,19203.25,4/2/2025 9:00:00 PM,4/2/2025 9:00:00 PM,MNQ SEP25 Initial,Profit target,$1562.82,$4441.29,$12.18,$0.00,$1575.00,$12.18,1,
48,MES SEP25,Backtest,CointegratedPairs,Short,7,5580.75,5565.25,4/2/2025 8:00:00 PM,4/2/2025 9:00:00 PM,MES SEP25 Initial,Partial Exit Short MES SEP25,$530.32,$4971.61,$12.18,$26.25,$1015.00,$484.68,2,
49,MNQ SEP25,Backtest,CointegratedPairs,Long,7,16879.50,16992.00,4/6/2025 8:00:00 PM,4/6/2025 8:00:00 PM,MNQ SEP25 Initial,Profit target,$1562.82,$6534.43,$12.18,$0.00,$1575.00,$12.18,1,
50,MES SEP25,Backtest,CointegratedPairs,Short,7,4945.50,4951.75,4/6/2025 8:00:00 PM,4/6/2025 8:00:00 PM,MES SEP25 Initial,Stop loss,($230.93),$6303.50,$12.18,$218.75,$0.00,$230.93,1,
51,MNQ SEP25,Backtest,CointegratedPairs,Short,7,19092.00,18979.50,4/9/2025 3:00:00 PM,4/9/2025 3:00:00 PM,MNQ SEP25 Initial,Profit target,$1562.82,$7866.32,$12.18,$0.00,$1575.00,$12.18,1,
52,MES SEP25,Backtest,CointegratedPairs,Long,7,5457.00,5450.75,4/9/2025 3:00:00 PM,4/9/2025 3:00:00 PM,MES SEP25 Initial,Stop loss,($230.93),$7635.39,$12.18,$218.75,$0.00,$230.93,1,
53,MNQ SEP25,Backtest,CointegratedPairs,Short,7,19464.50,19470.75,4/9/2025 5:00:00 PM,4/9/2025 5:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),$7535.71,$12.18,$87.50,$0.00,$99.68,1,
54,MES SEP25,Backtest,CointegratedPairs,Long,7,5533.75,5567.25,4/9/2025 5:00:00 PM,4/9/2025 5:00:00 PM,MES SEP25 Initial,Exit on session close,$1160.32,$8696.03,$12.18,$43.75,$1295.00,$134.68,1,
55,MNQ SEP25,Backtest,CointegratedPairs,Short,7,18977.00,18983.25,4/22/2025 8:00:00 PM,4/22/2025 8:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),$8596.35,$12.18,$87.50,$0.00,$99.68,1,
56,MES SEP25,Backtest,CointegratedPairs,Long,7,5469.50,5463.25,4/22/2025 8:00:00 PM,4/22/2025 8:00:00 PM,MES SEP25 Initial,Stop loss,($230.93),$8365.42,$12.18,$218.75,$0.00,$230.93,1,
57,MNQ SEP25,Backtest,CointegratedPairs,Long,7,19497.50,19491.25,4/30/2025 10:00:00 AM,4/30/2025 10:00:00 AM,MNQ SEP25 Initial,Stop loss,($99.68),$8265.74,$12.18,$87.50,$0.00,$99.68,1,
58,MNQ SEP25,Backtest,CointegratedPairs,Long,7,19336.25,19330.00,4/30/2025 11:00:00 AM,4/30/2025 11:00:00 AM,MNQ SEP25 Initial,Stop loss,($99.68),$8166.06,$12.18,$87.50,$0.00,$99.68,1,
59,MES SEP25,Backtest,CointegratedPairs,Short,7,5564.25,5512.50,4/30/2025 10:00:00 AM,4/30/2025 11:00:00 AM,MES SEP25 Initial,Partial Exit Short MES SEP25,$1799.07,$9965.13,$12.18,$201.25,$1968.75,$169.68,2,
60,MNQ SEP25,Backtest,CointegratedPairs,Short,7,20620.50,20626.75,5/11/2025 8:00:00 PM,5/11/2025 8:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),$9865.45,$12.18,$87.50,$0.00,$99.68,1,
61,MNQ SEP25,Backtest,CointegratedPairs,Short,7,20664.00,20670.25,5/11/2025 9:00:00 PM,5/11/2025 9:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),$9765.77,$12.18,$87.50,$0.00,$99.68,1,
62,MES SEP25,Backtest,CointegratedPairs,Long,7,5792.50,5798.25,5/11/2025 8:00:00 PM,5/11/2025 9:00:00 PM,MES SEP25 Initial,Partial Exit Long MES SEP25,$189.07,$9954.84,$12.18,$61.25,$560.00,$370.93,2,
